Site,Year,VegType,VegYr,Depth
CM10_15,2015,Meadow,Meadow_2015,16
CM9_15,2015,Meadow,Meadow_2015,15
LP12_15,2015,Meadow,Meadow_2015,14
LP5_15,2015,Meadow,Meadow_2015,7
LP6_15,2015,Meadow,Meadow_2015,0
LP8R_15,2015,Meadow,Meadow_2015,8
CM19_15,2015,Invaded,Invaded_2015,19
CM2_15,2015,Invaded,Invaded_2015,5
CM6_15,2015,Invaded,Invaded_2015,29
LP1_15,2015,Invaded,Invaded_2015,36
LP12R_15,2015,Invaded,Invaded_2015,42
LP16R_15,2015,Invaded,Invaded_2015,38
CM4R_15,2015,Emergent,Emergent_2015,32
CM5R_15,2015,Emergent,Emergent_2015,39
LP10_15,2015,Emergent,Emergent_2015,22
LP10R_15,2015,Emergent,Emergent_2015,21
LP15_15,2015,Emergent,Emergent_2015,26
LP5R_15,2015,Emergent,Emergent_2015,39
LP6R_15,2015,Emergent,Emergent_2015,28
LP7R_15,2015,Emergent,Emergent_2015,42
CM10_14,2014,Meadow,Meadow_2014,0
CM19_14,2014,Invaded,Invaded_2014,0
CM2_14,2014,Invaded,Invaded_2014,0
CM4R_14,2014,Emergent,Emergent_2014,34
CM5R_14,2014,Emergent,Emergent_2014,9
CM6_14,2014,Invaded,Invaded_2014,6
CM9_14,2014,Meadow,Meadow_2014,0
LP1_14,2014,Invaded,Invaded_2014,9
LP10_14,2014,Emergent,Emergent_2014,0
LP10R_14,2014,Emergent,Emergent_2014,0.33
LP12_14,2014,Meadow,Meadow_2014,0
LP12R_14,2014,Invaded,Invaded_2014,7
LP15_14,2014,Emergent,Emergent_2014,4
LP16R_14,2014,Invaded,Invaded_2014,16
LP5_14,2014,Meadow,Meadow_2014,0
LP5R_14,2014,Emergent,Emergent_2014,13
LP6_14,2014,Meadow,Meadow_2014,0
LP6R_14,2014,Emergent,Emergent_2014,1
LP7R_14,2014,Emergent,Emergent_2014,12
LP8R_14,2014,Meadow,Meadow_2014,0
